发表时间,会议（没中或者是报告的话填None）,方法名称,论文名字,架构,方向,论文单位（全称）,论文链接,论文仓库,论文创新点（CH）,论文创新点（EN）,本组工作
2024.11,,SkipCache,Accelerating Vision Diffusion Transformers with Skip Branches,,,Shanghai Jiao Tong University,,,,,
2024.12,ICLR2025,DuCa,Accelerating Diffusion Transformers with Dual Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,,,,,是
2025.01,,FBCache,Fastest HunyuanVideo Inference with Context Parallelism and First Block Cache on NVIDIA L20 GPUs,,,,,,,,
2025.01,,FlexCache,FlexCache: Flexible Approximate Cache System for Video Diffusion,,,,,,,,
2025.01,,DaTo,Token Pruning for Caching Better: 9 Times Acceleration on Stable Diffusion for Free,,,Shanghai Jiao Tong University,https://arxiv.org/pdf/2501.00375,,,,是
2025.02,,PAB,Real-Time Video Generation with Pyramid Attention Broadcast,,,National University of Singapore,https://arxiv.org/pdf/2408.12588,https://github.com/NUS-HPC-AI-Lab/OpenDiT,,,
2025.03,ICCV 2025,TaylorSeer,"From Reusing to Forecasting: Accelerating Diffusion Models with TaylorSeers
",DiT,"图片生成, 视频生成",Shanghai Jiao Tong University," "," https://github.com/Shenyi-Z/TaylorSeer"," ",,是
2025.03,,FEB-Cache,FEB-Cache: Frequency-Guided Exposure Bias Reduction for Enhancing Diffusion Transformer Caching,,,University of Science and Technology of China,https://arxiv.org/pdf/2503.07120,https://github.com/aSleepyTree/EB-Cache,,,
2025.03,,CacheQuant,CacheQuant: Comprehensively Accelerated Diffusion Models,,,University of Chinese Academy of Sciences,https://arxiv.org/pdf/2503.01323,https://github.com/BienLuky/CacheQuant,,,
2025.03,,QuantCache,QuantCache: Adaptive Importance-Guided Quantization with Hierarchical Latent and Layer Caching for Video Generation,,,Shanghai Jiao Tong University,https://arxiv.org/pdf/2503.06545,https://github.com/JunyiWuCode/QuantCache,,,
2025.04,,AB-Cache,AB-Cache: Training-Free Acceleration of Diffusion Models via Adams-Bashforth Cached Feature Reuse,,,,,,,,
2025.04,ACM MM 2025,ClusCa,Compute only 16 tokens in one timestep: Accelerating Diffusion Transformers with Cluster-Driven Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None," https://github.com/zhixin-zheng/ClusCa",,,是
2025.04,ACM MM 2025,SpeCa,SpeCa: Accelerating Diffusion Transformers with Speculative Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是
2025.04,None,FeMO,Accelerate Diffusion Transformers with Feature Momentum,DiT,图片生成,Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是
2025.04,,ICC,Accelerating Diffusion Transformer via Increment-Calibrated Caching with Channel-Aware Singular Value Decomposition,,,Peking University,https://arxiv.org/pdf/2505.05829,https://github.com/ccccczzy/icc,,,
2025.05,,FastCache,FastCache: Fast Caching for Diffusion Transformer Through Learnable Linear Approximation,,,,,,,,
2025.06,,DBPrune,DBPrune: Dynamic Block Prune with Residual Caching,,,Vipshop,,,,,
2025.06,,DBCache,DBCache: Dual Block Caching for Diffusion Transformers,,,Vipshop,,,,,
2025.06,,BACache,Block-wise Adaptive Caching for Accelerating Diffusion Policy,,,Peking University,https://arxiv.org/pdf/2506.13456,,,,
2025.07,None,FoCa ,Forecast then Calibrate: Feature Caching as ODE for Efficient Diffusion Transformers,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是
2025.07,None,HiCache,HiCache: Training-free Acceleration of Diffusion Models via Hermite Polynomial-based Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是
2025.07,None,WaveEx,WaveEx: Accelerating Flow Matching-based Speech Generation via Wavelet-guided Extrapolation,,语音生成,Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是
2025.07,,GOC,Accelerating Diffusion Transformer via Gradient-Optimized Cache,,,University of Science and Technology of China,https://arxiv.org/pdf/2503.05156,https://github.com/qiujx0520/GOC_ICCV2025,,,
2025.08,,TaoCache,TaoCache: Structure-Maintained Video Generation Acceleration,,,Huawei,https://arxiv.org/pdf/2508.08978,None,,,
2025.09,None,Z-Cache,Z-Cache: Accelerating Diffusion Transformers via  Self-Reflection,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
